,对手,胜负,主客场,命中,投篮数,投篮命中率,3分命中率,篮板,助攻,得分
0,勇士,胜,客,10,23,0.435,0.444,6,11,27
1,国王,胜,客,8,21,0.381,0.28600000000000003,3,9,27
2,小牛,胜,主,10,19,0.526,0.462,3,7,29
3,灰熊,负,主,8,20,0.4,0.25,5,8,22
4,76人,胜,客,10,20,0.5,0.25,3,13,27
5,黄蜂,胜,客,8,18,0.444,0.4,10,11,27
6,灰熊,负,客,6,19,0.316,0.222,4,8,20
7,76人,负,主,8,21,0.381,0.429,4,7,29
8,尼克斯,胜,客,9,23,0.391,0.353,5,9,31
9,老鹰,胜,客,8,15,0.5329999999999999,0.545,3,11,29
10,爵士,胜,主,19,25,0.76,0.875,2,13,56
11,骑士,胜,主,8,21,0.381,0.429,11,13,35
12,灰熊,胜,主,11,25,0.44,0.429,4,8,38
13,步行者,胜,客,9,21,0.429,0.25,5,15,26
14,猛龙,负,主,8,25,0.32,0.273,6,11,38
15,太阳,胜,客,12,22,0.545,0.545,2,7,48
16,灰熊,胜,客,9,20,0.45,0.5,5,7,29
17,掘金,胜,主,6,16,0.375,0.14300000000000002,8,9,21
18,尼克斯,胜,主,12,27,0.444,0.385,2,10,37
19,篮网,胜,主,13,20,0.65,0.615,10,8,37
20,步行者,胜,主,8,22,0.364,0.33299999999999996,8,10,29
21,湖人,胜,客,13,22,0.591,0.444,4,9,36
22,爵士,胜,客,8,19,0.42100000000000004,0.33299999999999996,5,3,29
23,开拓者,胜,客,16,29,0.552,0.5710000000000001,8,3,48
24,鹈鹕,胜,主,8,16,0.5,0.4,1,17,26
